

for i in `seq 1 20`; do python3 Optimization.py set_1_final.txt 1e-$i; done        
TH: 0.1 ACC: 0.9999859451368417 MCC: 0.9892975485325853 CM: [array([284411.,      0.]), array([  4., 184.])]
TH: 0.01 ACC: 0.9999929725684208 MCC: 0.9946056281072931 CM: [array([284413.,      0.]), array([  2., 184.])]
TH: 0.001 ACC: 0.9999894588526312 MCC: 0.9918682917417224 CM: [array([2.84413e+05, 1.00000e+00]), array([  2., 183.])]
TH: 0.0001 ACC: 0.9999894588526312 MCC: 0.9918682917417224 CM: [array([2.84413e+05, 1.00000e+00]), array([  2., 183.])]
TH: 1e-05 ACC: 0.9999859451368417 MCC: 0.9891234028046891 CM: [array([2.84413e+05, 2.00000e+00]), array([  2., 182.])]
TH: 1e-06 ACC: 0.9999859451368417 MCC: 0.9891234028046891 CM: [array([2.84413e+05, 2.00000e+00]), array([  2., 182.])]
TH: 1e-07 ACC: 0.9999859451368417 MCC: 0.9891234028046891 CM: [array([2.84413e+05, 2.00000e+00]), array([  2., 182.])]
TH: 1e-08 ACC: 0.9999859451368417 MCC: 0.9891234028046891 CM: [array([2.84413e+05, 2.00000e+00]), array([  2., 182.])]
TH: 1e-09 ACC: 0.9999859451368417 MCC: 0.9891234028046891 CM: [array([2.84413e+05, 2.00000e+00]), array([  2., 182.])]
TH: 1e-10 ACC: 0.9999859451368417 MCC: 0.9891234028046891 CM: [array([2.84413e+05, 2.00000e+00]), array([  2., 182.])]
TH: 1e-11 ACC: 0.9999754039894729 MCC: 0.9808427861949839 CM: [array([2.84413e+05, 5.00000e+00]), array([  2., 179.])]
TH: 1e-12 ACC: 0.9999683765578937 MCC: 0.9752834335510727 CM: [array([2.84413e+05, 7.00000e+00]), array([  2., 177.])]
TH: 1e-13 ACC: 0.9999648628421042 MCC: 0.9724918748754365 CM: [array([2.84413e+05, 8.00000e+00]), array([  2., 176.])]
TH: 1e-14 ACC: 0.9999508079789459 MCC: 0.961196477813056 CM: [array([2.84414e+05, 1.30000e+01]), array([  1., 171.])]
TH: 1e-15 ACC: 0.9999437805473667 MCC: 0.9555226394188753 CM: [array([2.84414e+05, 1.50000e+01]), array([  1., 169.])]
TH: 1e-16 ACC: 0.9999367531157874 MCC: 0.9498149934196187 CM: [array([2.84414e+05, 1.70000e+01]), array([  1., 167.])]
TH: 1e-17 ACC: 0.9999226982526291 MCC: 0.9382958078218222 CM: [array([2.84414e+05, 2.10000e+01]), array([  1., 163.])]
TH: 1e-18 ACC: 0.9998840473789437 MCC: 0.9058649283864205 CM: [array([2.84414e+05, 3.20000e+01]), array([  1., 152.])]
TH: 1e-19 ACC: 0.9998594513684166 MCC: 0.8846097353448115 CM: [array([2.84414e+05, 3.90000e+01]), array([  1., 145.])]
TH: 1e-20 ACC: 0.9998278279263103 MCC: 0.8565086758610033 CM: [array([2.84414e+05, 4.80000e+01]), array([  1., 136.])]

python3 Optimization.py <(cat set_1_final.txt set_2_final.txt) 1e-3
TH: 0.001 ACC: 0.9999877019731306 MCC: 0.9905697338750068 CM: [array([5.68823e+05, 1.00000e+00]), array([  6., 367.])]
python3 Optimization.py <(cat set_1_final.txt set_2_final.txt) 1e-2
TH: 0.01 ACC: 0.9999877019731306 MCC: 0.9906166044752241 CM: [array([568822.,      0.]), array([  7., 368.])]
